Pos,Bib No,Name,Time,Gender,Gen Pos,Country,Finish,race_name,race_large_logo,race_category,runner_id,race_link
12,2014,Soyeon Lee,04:00:28,Female,1,Korea,04:00:23,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187649,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
13,2013,Fauziah Fauziah,04:04:10,Female,2,Indonesia,04:04:05,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187648,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
14,2009,Julien Seppoloni,04:07:25,Male,12,France,04:07:08,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187644,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
15,2163,Chia Ming Li,04:07:28,Male,13,Taiwan,04:06:51,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187798,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
16,2147,John S Moynihan,04:12:27,Male,14,Australia,04:12:13,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187782,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
17,2173,Graeme Storr,04:23:52,Male,15,England,04:23:42,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187808,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
18,2028,Adam Luper,04:26:16,Male,16,United States,04:25:55,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187663,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
19,2012,Philippe Joubert,04:28:27,Male,17,France,04:28:12,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187647,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
20,2019,Victor Lee,04:28:49,Male,18,Singapore,04:28:49,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187654,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
21,2016,Florian Holm,04:29:24,Male,19,Germany,04:29:05,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187651,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
22,2166,Jenifer Handayani,04:29:46,Female,3,Indonesia,04:29:18,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187801,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
23,2092,Dan Burke,04:31:17,Male,20,United States,04:30:56,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187727,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
24,2185,Janet Sieton,04:31:36,Female,4,Malaysia,04:31:10,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187820,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
25,2054,Xavier Wenger,04:33:48,Male,21,France,04:33:31,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187689,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
26,2124,Hong Van Luu,04:34:17,Female,5,Vietnam,04:34:12,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187759,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
27,2129,Eric Klaesson,04:38:07,Male,22,Sweden,04:37:53,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187764,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
28,2064,Wen Hua Chang,04:43:14,Female,6,Taiwan,04:42:35,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187699,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
29,2125,Elliot Armitage,04:49:50,Male,23,England,04:49:24,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187760,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
30,2023,Sarah Lawrence,04:49:50,Female,7,England,04:49:24,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187658,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
31,2181,Gregory Suffert,04:50:17,Female,8,Spain,04:49:44,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187816,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
32,2182,Mona Reuss,04:50:17,Female,9,Spain,04:49:43,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187817,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
33,2018,Syahirah Abdul Rahman,04:51:11,Female,10,Malaysia,04:50:44,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187653,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
34,2056,Trung Nguyen Thanh,04:52:14,Male,24,Vietnam,04:51:56,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187691,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
35,2035,Ali Nugroho,04:57:43,Male,25,Indonesia,04:57:28,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187670,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
36,2162,Ruiqi Zhou Zhou,04:57:50,Female,11,Spain,04:57:32,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187797,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
37,2134,Iwan Yulianto Halim,04:58:21,Male,26,Indonesia,04:57:58,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187769,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
38,2113,Thuy Duong Nguyen,04:58:21,Female,12,Vietnam,04:58:15,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187748,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
39,2063,Chandra Maha Putra,04:58:22,Male,27,Indonesia,04:58:05,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187698,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
40,2158,Mimmi Luna Haglund,04:59:22,Female,13,Sweden,04:58:53,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187793,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
41,2161,Saring Cipto Titising Wahyu,05:00:54,Male,28,Indonesia,05:00:40,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187796,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
42,2024,Indah Wardhani,05:02:14,Female,14,Indonesia,05:01:45,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187659,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
43,2186,William Cheang,05:02:18,Male,29,Malaysia,05:01:47,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187821,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
44,2045,Millardi Nadesul,05:06:40,Male,30,Indonesia,05:05:32,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187680,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
45,2026,Hendra Ferianto,05:09:45,Male,31,Indonesia,05:09:10,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187661,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
46,2017,Aslihanziawawy Norbinsah,05:10:08,Male,32,Malaysia,05:09:46,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187652,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
47,2170,Hugues Salle,05:14:46,Male,33,France,05:14:32,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187805,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
48,2003,Fredrik Johansson,05:16:54,Male,34,Sweden,05:16:43,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187638,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
49,2154,Muhammad Nazmi Khalid,05:25:28,Male,35,Malaysia,05:25:12,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187789,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
50,2157,Skylar Johnson,05:26:07,Female,15,United States,05:25:41,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187792,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
