Pos,Race No,Name,Time,Net Time,Runner 1,Transition1,Runner 2,Transition2,Runner 3,Transition3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
284,380,TEAM SUPERHERO,01:08:37,01:07:32,00:13:09,00:00:46,00:17:18,00:00:41,00:20:35,00:00:30,00:15:35,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10063,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
285,37,TOKYU LAND 4,01:08:38,01:07:52,00:19:56,00:00:47,00:16:57,00:00:44,00:16:45,00:00:29,00:12:56,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9720,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
286,17,OTSUKA 6,01:08:39,01:08:02,00:14:12,00:00:51,00:15:35,00:00:35,00:16:07,00:00:34,00:20:43,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9700,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
287,38,TOKYU LAND 5,01:08:42,01:07:55,00:17:07,00:00:35,00:18:29,00:00:31,00:17:39,00:00:30,00:13:48,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9721,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
288,222,SECOM BERJAYA,01:08:50,01:08:11,00:17:14,00:00:40,00:15:33,00:00:39,00:15:41,00:00:45,00:18:16,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9905,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
289,323,MAYBANK JAPAN DESK,01:08:56,01:07:55,00:16:35,00:00:50,00:20:45,00:00:34,00:18:03,00:00:28,00:11:38,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10006,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
290,215,THE DAILY JAKARTA SHIMBUN 1,01:09:03,01:08:27,00:12:38,00:00:36,00:19:09,00:00:44,00:14:56,00:00:42,00:20:15,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9898,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
291,265,FOSI TEAM 3,01:09:13,01:08:24,00:18:31,00:00:37,00:12:49,00:00:33,00:19:09,00:00:27,00:17:05,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9948,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
292,60,CHIYODA SAE 06,01:09:14,01:08:34,00:12:30,00:00:38,00:13:30,00:00:38,00:21:30,00:00:36,00:19:49,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9743,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
293,250,KAWAI PIANOS 1,01:09:18,01:08:41,00:14:46,00:00:44,00:14:01,00:00:43,00:18:02,00:00:34,00:20:26,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9933,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
294,168,RIF 1,01:09:22,01:08:23,00:15:35,00:00:42,00:12:30,00:00:39,00:18:52,00:00:38,00:20:23,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9851,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
295,110,SHIMIZU08,01:09:24,01:08:36,00:14:32,00:00:49,00:18:37,00:00:49,00:17:05,00:00:27,00:17:02,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9793,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
296,329,TAKENAKA9,01:09:25,01:08:25,00:16:52,00:00:41,00:16:10,00:00:35,00:21:56,00:00:28,00:12:38,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10012,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
297,312,TAKENAKA10,01:09:26,01:08:28,00:18:15,00:00:47,00:10:35,00:00:31,00:17:11,00:00:38,00:21:26,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9995,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
298,362,MITSUI JKECX TEAM 1,01:09:29,01:08:35,00:13:05,00:00:44,00:16:04,00:00:43,00:19:00,00:00:38,00:19:12,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10045,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
299,295,PT IRON WIRE WORKS INDONESIA TEAM 2,01:09:34,01:08:53,00:18:51,00:00:41,00:15:58,00:00:32,00:18:20,00:00:36,00:14:33,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9978,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
300,262,MMKI 04,01:09:36,01:08:40,00:19:14,00:00:38,00:16:21,00:00:41,00:20:25,00:00:30,00:11:45,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9945,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
