Pos,Race No,Name,Net Time,Category,Cat Pos,Gender,Gen Pos,Finished,race_name,race_large_logo,race_category,runner_id,race_link
113,1029,Desi Nurmathias,03:38:33,All Ages,29,Female,29,00:38:58,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136602,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
114,1079,Renanda Sela Cahyadi,03:43:30,All Ages,85,Male,85,00:38:28,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136652,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
115,1054,Muhammad Luthfi Fathurrahman,03:44:05,All Ages,86,Male,86,00:39:02,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136627,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
116,1092,Diana Dewi,03:45:42,All Ages,30,Female,30,00:39:57,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136665,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
117,1053,Dessy Emastari Prihatiningtyas,03:46:07,All Ages,31,Female,31,00:40:01,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136626,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
118,1022,Dewi Nilasari,03:47:04,All Ages,32,Female,32,00:39:44,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136595,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
119,1138,Andik Setiawan,03:47:11,All Ages,87,Male,87,00:39:54,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136711,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
,1043,Bona Tobing,DNF,All Ages,,Male,,,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136616,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
,1103,Agus Praptowasono,DNF,All Ages,,Male,,,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136676,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
,1118,Endri Haryanto,DNF,All Ages,,Male,,,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136691,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
,1127,Ganjar Pranowo,DNF,All Ages,,Male,,,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136700,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
,1132,Budiman Tanuredjo,DNF,All Ages,,Male,,,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136705,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
,1133,Supriyatno,DNF,All Ages,,Male,,,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136706,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
,1145,Widy,DNF,All Ages,,Male,,,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136718,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
,1152,Vino,DNF,All Ages,,Male,,,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136725,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
,1153,Henry,DNF,All Ages,,Male,,,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136726,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
,1164,Yunita Dwi Andiani,DNF,All Ages,,Female,,,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136737,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
,1166,Rudianto,DNF,All Ages,,Male,,,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136739,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
