Pos,Race No,Name,Time,Gender,Gen Pos,"CP 1 - KM 2,8",CP 2 - KM 6.3,"CP 3 - KM 8,8",CP 4 - KM 12,Finish,race_name,race_large_logo,race_category,runner_id,race_link
65,21135,Pacer Aga,02:14:56,Unknown,14,00:17:01,00:21:57,00:15:27,00:19:55,01:00:34,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185079,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
66,21136,Pacer Rangga,02:14:56,Unknown,15,00:17:00,00:21:58,00:15:25,00:19:51,01:00:39,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185080,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
67,21059,Agung Rizkiansyah,02:15:03,Male,46,00:14:55,00:19:01,00:14:13,00:20:20,01:06:21,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184540,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
68,21092,defryanto defryanto,02:15:18,Male,47,00:14:11,,00:41:51,00:16:51,01:16:35,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184573,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
69,21058,Muhammad Pujiyono,02:15:33,Male,48,00:18:25,00:22:29,00:15:30,00:20:32,00:58:24,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184539,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
70,21024,Rano Prayonda,02:15:38,Male,49,00:16:57,00:21:09,00:17:57,00:19:51,00:59:38,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184505,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
71,21006,Andi Ronald Khomeini,02:18:06,Male,50,00:17:56,00:22:37,00:16:06,00:21:02,01:00:17,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184487,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
72,21101,Adi Putra Hermawan,02:18:45,Male,51,00:18:44,00:23:00,00:16:22,00:20:45,00:59:47,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184582,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
73,21084,Heriadi Heriadi,02:18:53,Male,52,00:18:14,00:22:57,00:15:22,00:19:22,01:02:53,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184565,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
74,21111,Muhajir Gussyafitri,02:18:53,Male,53,00:16:59,00:21:58,00:15:25,00:19:56,01:04:30,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184588,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
75,21081,Julda Naufal,02:19:07,Male,54,00:18:23,00:23:28,00:16:38,00:20:48,00:59:49,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184562,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
76,21096,Agus Madi,02:19:12,Male,55,00:18:02,00:21:53,00:16:17,00:20:25,01:02:25,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184577,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
77,21071,Nicky Stanley Halim,02:19:41,Male,56,00:16:59,00:21:57,00:13:47,00:22:11,01:04:39,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184552,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
78,21080,Johan Johan,02:20:54,Male,57,00:15:59,00:21:52,00:16:14,00:21:32,01:05:06,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184561,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
79,21093,Hardi Nata,02:21:08,Male,58,00:19:20,00:24:14,00:17:21,00:21:39,00:58:25,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184574,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
80,21100,Albert Utama,02:22:22,Male,59,00:19:52,00:22:54,00:16:12,00:20:54,01:02:27,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184581,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
81,21099,John Martine Kamil,02:22:23,Male,60,00:19:39,00:23:00,00:16:10,00:20:58,01:02:24,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184580,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
82,21042,hermanto huang,02:22:29,Male,61,00:16:50,00:21:04,00:14:48,00:19:41,01:09:58,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184523,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
83,21098,Teddy Apriliandi Pratama,02:24:16,Male,62,00:19:23,00:24:13,00:17:21,00:21:39,01:01:33,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184579,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
84,21065,Arpani Arpani,02:24:37,Male,63,00:18:24,00:23:49,00:16:34,00:21:28,01:04:15,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184546,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
85,21097,M KURNIA FAJAR,02:25:39,Male,64,00:18:47,00:23:28,00:16:48,00:21:32,01:04:56,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184578,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
86,21037,Zul Fadli,02:26:03,Male,65,,00:43:46,00:15:44,00:23:42,01:02:49,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184518,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
87,21129,21K PHM 17,02:26:04,Unknown,16,00:17:24,00:22:26,00:16:11,00:21:22,01:08:35,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185073,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
88,21002,Ahmad Fajar Septian,02:26:11,Male,66,00:19:19,00:22:49,00:18:46,00:21:39,01:03:29,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184483,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
89,21078,Ilham Islami,02:26:30,Male,67,00:18:14,00:24:48,00:16:53,00:21:55,01:04:32,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184559,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
90,21053,Suharyadi Suharyadi,02:26:43,Male,68,00:20:57,00:26:43,00:18:17,00:23:33,00:57:00,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184534,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
91,21055,Rode Paulus Gagok Pudjiono,02:26:59,Male,69,00:19:10,00:24:23,00:17:27,00:21:47,01:04:01,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184536,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
92,21018,Raden Faris,02:27:22,Male,70,00:19:22,00:24:13,00:17:22,00:21:38,01:04:39,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184499,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
93,21056,Harry Prananda,02:29:03,Male,71,00:19:20,00:24:15,00:17:56,00:23:51,01:03:31,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184537,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
94,21073,Zonni Anzwardi,02:29:16,Male,72,00:17:20,00:21:48,00:16:12,00:22:06,01:11:43,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184554,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
95,21137,Pacer David malis,02:29:51,Unknown,17,00:19:26,00:24:13,00:17:23,00:21:39,01:07:09,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185081,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
96,21138,Pacer Aswin,02:29:52,Unknown,18,00:19:25,00:24:13,00:17:22,00:21:38,01:07:11,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185082,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
97,21139,Pacer Cloudy,02:31:32,Unknown,19,00:19:24,00:24:14,00:17:23,00:21:37,01:08:52,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185083,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
98,21107,Luvi Saputra,02:31:46,Unknown,20,00:19:23,00:24:17,00:17:34,00:22:06,01:08:21,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185054,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
99,21106,Agus Apri Irawanto,02:31:46,Unknown,21,00:19:23,00:24:21,00:17:31,00:22:05,01:08:21,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185053,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
100,21047,Ibadallah Bajumi,02:38:14,Male,73,00:19:21,00:24:14,00:17:56,00:23:54,01:12:39,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184528,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
