Pos,Race No,Name,Net Time,Category,Cat Pos,Gender,Gen Pos,Finished,race_name,race_large_logo,race_category,runner_id,race_link
12,1028,Chandra Dewi,01:49:53,All Ages,1,Female,1,00:18:34,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136601,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
13,1076,Polniwati Salim,01:50:04,All Ages,2,Female,2,00:18:05,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136649,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
14,1024,Siti Muawanah,01:50:11,All Ages,3,Female,3,00:18:18,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136597,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
15,1027,Ena,01:50:35,All Ages,4,Female,4,00:17:27,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136600,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
16,1023,Joko Pramono,01:53:12,All Ages,12,Male,12,00:20:48,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136596,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
17,1124,Andang Pamungkas Aw,01:53:17,All Ages,13,Male,13,00:20:28,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136697,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
18,1035,Daniel Lim,01:54:03,All Ages,14,Male,14,00:18:28,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136608,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
19,1016,Maya Mariany,01:55:51,All Ages,5,Female,5,00:20:23,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136589,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
20,1072,Nurus Firdaus,01:57:02,All Ages,15,Male,15,00:21:37,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136645,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
21,1120,Bayu Mahendra Putera,01:57:14,All Ages,16,Male,16,00:19:56,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136693,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
22,1034,Mateus Indarto,01:57:49,All Ages,17,Male,17,00:19:51,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136607,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
23,1106,Achmad Deni Malana,01:58:36,All Ages,18,Male,18,00:20:07,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136679,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
24,1015,Barry,01:59:55,All Ages,19,Male,19,00:23:01,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136588,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
25,1073,Anugrahayu Krisna Indarto,02:03:04,All Ages,6,Female,6,00:20:53,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136646,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
26,1067,Berry Putra,02:03:23,All Ages,20,Male,20,00:22:42,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136640,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
27,1080,Yan Partawijaya,02:06:12,All Ages,21,Male,21,00:20:19,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136653,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
28,1122,Tjoa Lukman Sugianto,02:06:31,All Ages,22,Male,22,00:21:21,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136695,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
29,1064,Junardy Polopadang,02:08:22,All Ages,23,Male,23,00:22:55,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136637,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
30,1090,Kaisar Jafar,02:08:23,All Ages,24,Male,24,00:22:57,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136663,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
31,1075,Ahmad Fikri,02:13:17,All Ages,25,Male,25,00:25:02,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136648,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
32,1038,Max Suswendi,02:13:18,All Ages,26,Male,26,00:24:44,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136611,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
33,1083,Kristin Husen,02:13:37,All Ages,7,Female,7,00:25:06,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136656,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
34,1114,Edi Saputra,02:13:43,All Ages,27,Male,27,00:24:07,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136687,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
35,1113,Putranto Gatot,02:13:48,All Ages,28,Male,28,00:24:39,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136686,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
36,1139,Novi Eastiyanto,02:13:51,All Ages,29,Male,29,00:22:53,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136712,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
37,1014,Meigawati Halimputri,02:14:09,All Ages,8,Female,8,00:21:58,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136587,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
38,1040,Adi Poernomo,02:14:22,All Ages,30,Male,30,00:25:41,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136613,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
39,1136,Satyo Haryo Wibisono,02:14:32,All Ages,31,Male,31,00:22:48,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136709,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
40,1084,Wika Hafidzah Kurnia,02:14:42,All Ages,9,Female,9,00:22:31,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136657,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
41,1086,Reynold Lumbantobing,02:16:13,All Ages,32,Male,32,00:22:10,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136659,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
42,1161,Heaven Asre Budhisatrijo,02:16:14,All Ages,10,Female,10,00:22:11,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136734,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
43,1160,Dede Ari Prabowo,02:16:14,All Ages,33,Male,33,00:22:10,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136733,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
44,1099,Rio Saputra,02:16:15,All Ages,34,Male,34,00:24:05,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136672,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
45,1125,Putri Ramadhani,02:16:21,All Ages,11,Female,11,00:23:48,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136698,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
46,1044,Bambang Iranto,02:18:57,All Ages,35,Male,35,00:24:53,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136617,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
47,1105,Revi Adiana Silawati,02:19:02,All Ages,12,Female,12,00:23:56,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136678,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
48,1019,Ali Akhwan,02:19:52,All Ages,36,Male,36,00:21:38,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136592,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
49,1155,Gama,02:21:49,All Ages,37,Male,37,00:23:53,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136728,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
50,1085,Kemal Idris,02:22:01,All Ages,38,Male,38,00:25:10,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136658,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
